fecha,hora,prediccion_frio_kw
2022-01-03,,11778.447955431646
2022-01-04,,40190.19530110946
2022-01-05,,14252.83086091312
2022-01-06,,12311.269670679256
2022-01-07,,11459.804894920675
2022-01-08,,12676.472658387094
2022-01-09,,13897.266631441777
2022-01-10,,12963.826728813003
2022-01-11,,13998.016876131689
2022-01-12,,14497.22237364489
2022-01-13,,15347.754344203437
2022-01-14,,14799.009543808163
2022-01-15,,13240.923270866684
2022-01-16,,11558.621899422682
2022-01-17,,11010.401281152623
2022-01-18,,13102.357898702749
2022-01-19,,15765.639560781563
2022-01-20,,15375.152434405063
2022-01-21,,12702.056518708405
2022-01-22,,11615.944656712567
2022-01-23,,13380.607031652895
2022-01-24,,16930.388434430282
2022-01-25,,16766.129706149986
2022-01-26,,18583.472644997568
2022-01-27,,19138.468247601235
2022-01-28,,15224.755434222549
2022-01-29,,13596.553098659459
2022-01-30,,15069.795316451064
2022-01-31,,16559.489325405993
2022-02-01,,19945.27737789289
2022-02-02,,20044.951160355307
2022-02-03,,18836.55399337096
2022-02-04,,18882.5776427253
2022-02-05,,21509.14455179136
2022-02-06,,21343.768218725603
2022-02-07,,19167.465646323097
2022-02-08,,18589.578855637665
2022-02-09,,18839.657292604003
2022-02-10,,18033.32363420657
2022-02-11,,19666.15147041903
2022-02-12,,22305.121943663293
2022-02-13,,19407.518539604436
2022-02-14,,18344.31582190437
2022-02-15,,19834.36186103315
2022-02-16,,23406.876787953213
2022-02-17,,22975.40899155804
2022-02-18,,19242.306252983726
2022-02-19,,18447.938895827792
2022-02-20,,19157.56654852999
2022-02-21,,16598.898272374772
2022-02-22,,19548.38484025664
2022-02-23,,25585.550806980733
2022-02-24,,20102.20718462738
2022-02-25,,23288.641534740178
2022-02-26,,24637.762551382333
2022-02-27,,20098.54315782748
2022-02-28,,20480.839742201075
2022-03-01,,50796.31641819922
2022-03-03,,17089.36967542165
2022-03-04,,18497.337798090906
2022-03-05,,21969.601828013627
2022-03-06,,22938.80673899587
2022-03-07,,20508.005892302535
2022-03-08,,21078.196099335586
2022-03-09,,21134.424807385774
2022-03-10,,20394.356089933466
2022-03-11,,20338.045130104212
2022-03-12,,22061.81569353567
2022-03-13,,22626.805130289613
2022-03-14,,22628.92169362353
2022-03-15,,23326.400642307486
2022-03-16,,23517.818637356504
2022-03-17,,21294.582211460598
2022-03-18,,21802.854384345224
2022-03-19,,22536.57614629133
2022-03-20,,24358.36413587838
2022-03-21,,101718.18546719573
2022-03-22,,22845.840345687026
2022-03-23,,24495.283373958497
2022-03-24,,24443.549743844156
2022-03-25,,22954.587371191123
2022-03-26,,22937.24002359544
2022-03-27,,23979.837613328025
2022-03-28,,27895.071518629582
2022-03-29,,30179.42582556313
2022-03-30,,28728.35766149204
2022-04-01,,27391.49827607906
2022-04-02,,28158.78353929589
2022-04-03,,26291.42205058139
2022-04-04,,24360.194797882745
2022-04-05,,25756.86410959004
2022-04-06,,28568.7341689864
2022-04-07,,28175.920418741036
2022-04-08,,22771.705527185175
2022-04-09,,23318.31703172926
2022-04-10,,24744.897253171435
2022-04-11,,26711.135320566522
2022-04-12,,27490.93867086198
2022-04-13,,25047.01460951099
2022-04-14,,26248.52874242442
2022-04-15,,24389.269960312457
2022-04-16,,25443.60743569153
2022-04-17,,29743.088529715187
2022-04-18,,31482.95572493796
2022-04-19,,31321.59962537856
2022-04-20,,29924.4026614745
2022-04-21,,26634.277589062614
2022-04-22,,25974.61228458163
2022-04-23,,25730.54254356932
2022-04-24,,27994.910585385525
2022-04-25,,32039.52502844404
2022-04-26,,30855.16327359378
2022-04-27,,29613.996749294638
2022-04-28,,31040.139199460213
