Mes / Año,Año + Mes,Agua Planta,EE Planta,ET Planta,Aire Planta,Unnamed: 6,Meta Agua Elab,Meta Agua Bodega,Meta Agua Cocina,Meta Agua Envas,Meta Agua Linea 2,Meta Agua Linea 3,Meta Agua Linea 4,Meta Agua Linea 5,Meta Agua Servicios,Meta Agua Planta de Agua,Meta Produccion Agua,Unnamed: 18,Meta EE Elaboracion,Meta EE Bodega,Meta EE Cocina,Meta EE Envasado,Meta EE Linea 2,Meta EE Linea 3,Meta EE Linea 4,Meta EE Linea 5,Meta EE Servicios,Meta EE Sala Maq,Meta EE Frio,Meta EE Aire,Meta EE CO2,Meta EE Caldera,Meta EE Eflu,Meta EE Agua ,Meta EE Resto Serv,Meta EE Resto Planta,Unnamed: 37,Meta ET Elab,Meta ET Bodega,Meta ET Cocina,Meta ET Envasado,Meta ET Linea 2,Meta ET Linea 3,Meta ET Linea 4,Meta ET Linea 5,Meta ET Servicios,Unnamed: 47,Meta Aire Elaboracion,Meta Aire Cocina,Meta Aire Bodega,Meta Aire Envasado,Meta Aire L2,Meta Aire L3,Meta Aire L4,Meta Aire L5,Meta Aire Servicios
2022-09-01,202209,3.3,6.3,65.0,5.58,,1.725428571,0.7542857143,1.32,1.018285714,1.98,1.32,0.4714285714,1.414285714,0.528,14.14285714,85,,0.765,0.495,0.27,1.647,2.34,1.53,1.44,1.53,3.744,3.87,2.43,0.54,0.225,0.09,0.09,0.09,0.405,0.171,,22.75,0.9848484848,8.863636364,38.31060606,19.6969697,14.77272727,6.401515152,9.848484848,3.840909091,,3.15,0.45,1.35,1.35,2.25,1.35,0.54,2.7,1.08
2022-10-01,202210,3.3,6.3,62.0,5.58,,1.725428571,0.7542857143,1.32,1.018285714,1.98,1.32,0.4714285714,1.414285714,0.528,14.14285714,85,,0.765,0.495,0.27,1.647,2.34,1.53,1.44,1.53,3.744,3.87,2.43,0.54,0.225,0.09,0.09,0.09,0.405,0.171,,21.7,0.9393939394,8.454545455,36.54242424,18.78787879,14.09090909,6.106060606,9.393939394,3.663636364,,3.15,0.45,1.35,1.35,2.25,1.35,0.54,2.7,1.08
2022-11-01,202211,3.4,6.4,60.0,5.668571429,,1.777714286,0.7771428571,1.36,1.049142857,2.04,1.36,0.4857142857,1.457142857,0.544,14.57142857,85,,0.7771428571,0.5028571429,0.2742857143,1.673142857,2.377142857,1.554285714,1.462857143,1.554285714,3.803428571,3.931428571,2.468571429,0.5485714286,0.2285714286,0.09142857143,0.09142857143,0.09142857143,0.4114285714,0.1737142857,,21.0,0.9090909091,8.181818182,35.36363636,18.18181818,13.63636364,5.909090909,9.090909091,3.545454545,,3.2,0.4571428571,1.371428571,1.371428571,2.285714286,1.371428571,0.5485714286,2.742857143,1.097142857
2022-12-01,202212,3.4,6.4,59.0,5.668571429,,1.777714286,0.7771428571,1.36,1.049142857,2.04,1.36,0.4857142857,1.457142857,0.544,14.57142857,85,,0.7771428571,0.5028571429,0.2742857143,1.673142857,2.377142857,1.554285714,1.462857143,1.554285714,3.803428571,3.931428571,2.468571429,0.5485714286,0.2285714286,0.09142857143,0.09142857143,0.09142857143,0.4114285714,0.1737142857,,20.65,0.8939393939,8.045454545,34.77424242,17.87878788,13.40909091,5.810606061,8.939393939,3.486363636,,3.2,0.4571428571,1.371428571,1.371428571,2.285714286,1.371428571,0.5485714286,2.742857143,1.097142857
2023-01-01,202301,3.7,8.37,57.01,7.413428571,,1.934571429,0.8457142857,1.48,1.141714286,2.22,1.48,0.5285714286,1.585714286,0.592,15.85714286,85,,1.016357143,0.6576428571,0.3587142857,2.188157143,3.108857143,2.032714286,1.913142857,2.032714286,4.974171429,5.141571429,3.228428571,0.7174285714,0.2989285714,0.1195714286,0.1195714286,0.1195714286,0.5380714286,0.2271857143,,19.9535,0.8637878788,7.774090909,33.60134848,17.27575758,12.95681818,5.614621212,8.637878788,3.368772727,,4.185,0.5978571429,1.793571429,1.793571429,2.989285714,1.793571429,0.7174285714,3.587142857,1.434857143
2023-02-01,202302,4.17,8.69,60.38,7.696857143,,2.180314286,0.9531428571,1.668,1.286742857,2.502,1.668,0.5957142857,1.787142857,0.6672,17.87142857,85,,1.055214286,0.6827857143,0.3724285714,2.271814286,3.227714286,2.110428571,1.986285714,2.110428571,5.164342857,5.338142857,3.351857143,0.7448571429,0.3103571429,0.1241428571,0.1241428571,0.1241428571,0.5586428571,0.2358714286,,21.133,0.9148484848,8.233636364,35.58760606,18.2969697,13.72272727,5.946515152,9.148484848,3.567909091,,4.345,0.6207142857,1.862142857,1.862142857,3.103571429,1.862142857,0.7448571429,3.724285714,1.489714286
2023-03-01,202303,3.46,8.4,57.44,7.44,,1.809085714,0.7908571429,1.384,1.067657143,2.076,1.384,0.4942857143,1.482857143,0.5536,14.82857143,85,,1.02,0.66,0.36,2.196,3.12,2.04,1.92,2.04,4.992,5.16,3.24,0.72,0.3,0.12,0.12,0.12,0.54,0.228,,20.104,0.8703030303,7.832727273,33.85478788,17.40606061,13.05454545,5.656969697,8.703030303,3.394181818,,4.2,0.6,1.8,1.8,3.0,1.8,0.72,3.6,1.44
2023-04-01,202304,3.41,7.65,60.08,6.775714286,,1.782942857,0.7794285714,1.364,1.052228571,2.046,1.364,0.4871428571,1.461428571,0.5456,14.61428571,85,,0.9289285714,0.6010714286,0.3278571429,1.999928571,2.841428571,1.857857143,1.748571429,1.857857143,4.546285714,4.699285714,2.950714286,0.6557142857,0.2732142857,0.1092857143,0.1092857143,0.1092857143,0.4917857143,0.2076428571,,21.028,0.9103030303,8.192727273,35.41078788,18.20606061,13.65454545,5.916969697,9.103030303,3.550181818,,3.825,0.5464285714,1.639285714,1.639285714,2.732142857,1.639285714,0.6557142857,3.278571429,1.311428571
2023-05-01,202305,3.49,7.25,70.9,6.421428571,,1.824771429,0.7977142857,1.396,1.076914286,2.094,1.396,0.4985714286,1.495714286,0.5584,14.95714286,85,,0.8803571429,0.5696428571,0.3107142857,1.895357143,2.692857143,1.760714286,1.657142857,1.760714286,4.308571429,4.453571429,2.796428571,0.6214285714,0.2589285714,0.1035714286,0.1035714286,0.1035714286,0.4660714286,0.1967857143,,24.815,1.074242424,9.668181818,41.7880303,21.48484848,16.11363636,6.982575758,10.74242424,4.189545455,,3.625,0.5178571429,1.553571429,1.553571429,2.589285714,1.553571429,0.6214285714,3.107142857,1.242857143
2023-06-01,202306,3.78,7.25,82.94,6.421428571,,1.9764,0.864,1.512,1.1664,2.268,1.512,0.54,1.62,0.6048,16.2,85,,0.8803571429,0.5696428571,0.3107142857,1.895357143,2.692857143,1.760714286,1.657142857,1.760714286,4.308571429,4.453571429,2.796428571,0.6214285714,0.2589285714,0.1035714286,0.1035714286,0.1035714286,0.4660714286,0.1967857143,,29.029,1.256666667,11.31,48.88433333,25.13333333,18.85,8.168333333,12.56666667,4.901,,3.625,0.5178571429,1.553571429,1.553571429,2.589285714,1.553571429,0.6214285714,3.107142857,1.242857143
