timestamp,model_name,optuna_cv_mae,mae_train,mae_test,rmse_train,rmse_test,r2_train,r2_test,hyperparameters
2025-11-15 18:11:12,Pipeline_ElasticNet,8781.943633611043,8426.544145213033,4142.461842256117,95918.97151479323,5376.345178326974,0.01935144376465625,0.1581515622289652,"{""alpha"": 9.377025499416565, ""l1_ratio"": 0.008487677165157914}"
2025-11-15 18:14:38,XGBoost,10713.06064453125,487.4156799316406,4803.1044921875,607.7221558821103,9711.03990312057,0.9999606609344482,-1.7465729713439941,"{""n_estimators"": 1900, ""learning_rate"": 0.02524011054388174, ""max_depth"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.016499069103166408, ""reg_lambda"": 7.214358170481213e-05}"
2025-11-15 18:49:41,RandomForest,8849.135263667567,8153.89641965402,10952.406364806546,91340.55254534534,13424.081281920555,0.11073410764941294,-4.248422256617862,"{""n_estimators"": 950, ""max_depth"": 14, ""min_samples_split"": 17, ""min_samples_leaf"": 10, ""max_features"": 0.13431739217186495}"
2025-11-15 18:49:43,Pipeline_ElasticNet,8716.683500196239,8385.64358828336,4691.649569044782,95919.56010279157,6649.007847167647,0.01933940861180572,-0.28757730539654736,"{""alpha"": 9.935399176767104, ""l1_ratio"": 0.050421525840464165}"
2025-11-15 19:26:27,RandomForest,8880.768067064291,8239.262342251215,13427.07901665199,91045.884495123,16718.57732930268,0.11646246305627928,-7.140634551347102,"{""n_estimators"": 350, ""max_depth"": 42, ""min_samples_split"": 9, ""min_samples_leaf"": 10, ""max_features"": 0.1481412568887277}"
2025-11-15 19:26:29,Pipeline_ElasticNet,8976.604231034513,8637.588189156439,6388.747454649086,95806.51080354852,30376.098795731465,0.02164962900553913,-25.87346182088346,"{""alpha"": 9.801252123408787, ""l1_ratio"": 0.2247261045718425}"
2025-11-15 19:46:36,RandomForest,8760.669833533108,8225.218073488866,3141.697294956884,91072.68227015577,4326.1963824286,0.11594227865227913,0.45490514618879907,"{""n_estimators"": 300, ""max_depth"": 49, ""min_samples_split"": 12, ""min_samples_leaf"": 9, ""max_features"": 0.1030928069010875}"
2025-11-15 19:46:38,Pipeline_ElasticNet,8122.409389016391,7804.677798883006,3648.84078285947,96144.04031120436,4615.625501566316,0.014743964495097739,0.3795300533870899,"{""alpha"": 8.8482926045586, ""l1_ratio"": 0.023304917328585195}"
2025-11-15 19:47:16,XGBoost,8455.978125,0.040991153568029404,3272.504150390625,0.06131957352905348,4137.727153885331,1.0,0.5013643503189087,"{""n_estimators"": 400, ""learning_rate"": 0.13621705827707972, ""max_depth"": 9, ""subsample"": 0.9, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.996250613382135, ""reg_lambda"": 0.00023217487425342007}"
2025-11-15 19:48:49,RandomForest,8715.248561196002,8219.311578126906,3235.8882421921276,91734.38097437973,4508.326259130049,0.10304917059565877,0.4080428133831051,"{""n_estimators"": 500, ""max_depth"": 47, ""min_samples_split"": 8, ""min_samples_leaf"": 10, ""max_features"": 0.1322710875172799}"
2025-11-15 19:48:51,Pipeline_ElasticNet,8076.414130650342,7741.92370014077,3988.612091459382,96153.72605717379,4937.427473260179,0.014545441105994872,0.28999553351749785,"{""alpha"": 9.895725288788999, ""l1_ratio"": 0.2000686351957387}"
2025-11-15 19:49:53,XGBoost,9101.132373046876,0.12367255985736847,3080.95166015625,0.2109816381405074,3884.835260342451,1.0,0.560453474521637,"{""n_estimators"": 2000, ""learning_rate"": 0.03986611273099481, ""max_depth"": 7, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.015074537111773123, ""reg_lambda"": 0.8857833614508448}"
2025-11-15 19:51:34,RandomForest,8798.025479289714,7599.40714441322,3143.147768043151,85435.57953754364,4431.7441124575635,0.22199586375234814,0.42798294843954143,"{""n_estimators"": 750, ""max_depth"": 17, ""min_samples_split"": 14, ""min_samples_leaf"": 4, ""max_features"": 0.14195679116369242}"
2025-11-15 19:51:36,Pipeline_ElasticNet,8095.390360438602,7751.246634918835,3768.8698687224773,96169.85703866175,4663.511549027774,0.014214768893827334,0.366588804099775,"{""alpha"": 9.817816772923871, ""l1_ratio"": 0.07651725375515799}"
2025-11-15 19:52:49,XGBoost,10242.53671875,0.0020442353561520576,3520.603271484375,0.008940915982418727,4508.073424424229,1.0,0.408109188079834,"{""n_estimators"": 1300, ""learning_rate"": 0.25209679895277065, ""max_depth"": 6, ""subsample"": 0.9, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.6482796838743852e-06, ""reg_lambda"": 7.021199832091915e-06}"
2025-11-15 19:54:55,RandomForest,8702.215791321822,7554.326680016913,2790.279495151296,87590.04413116627,3629.7186784597016,0.1822626081497758,0.6162878466020919,"{""n_estimators"": 300, ""max_depth"": 24, ""min_samples_split"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.6628766334796659}"
2025-11-15 19:54:56,Pipeline_ElasticNet,8242.485687738133,7947.72525927206,3401.0204571264035,96075.9144453898,4370.813779896584,0.0161397377486463,0.4436037048764351,"{""alpha"": 8.44620652478276, ""l1_ratio"": 0.1533016166626815}"
2025-11-15 19:56:28,XGBoost,8997.803564453125,6.752114772796631,3791.74267578125,8.840590704604962,5008.382772911831,1.0,0.26944202184677124,"{""n_estimators"": 2000, ""learning_rate"": 0.05830969778000771, ""max_depth"": 4, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""reg_alpha"": 4.853836211247021e-06, ""reg_lambda"": 0.00031920327972932537}"
2025-11-15 19:58:04,RandomForest,9046.684710156847,8304.42618007835,14402.619060333835,91125.72640791716,17850.79062482757,0.11491216216017197,-8.280567513863867,"{""n_estimators"": 300, ""max_depth"": 40, ""min_samples_split"": 14, ""min_samples_leaf"": 10, ""max_features"": 0.19139344470174946}"
2025-11-15 19:58:06,Pipeline_ElasticNet,8428.09503890222,8099.724038716903,4271.264000855139,95846.3664738398,5277.16478603761,0.020835468881640007,0.18892515202218607,"{""alpha"": 9.488516653464385, ""l1_ratio"": 0.23170559402914861}"
